"FAO_area","FAO_area_code","FABIO_area","FABIO_area_code","FABIO_iso3c","comments; second area"
"Guadeloupe",87,"France",68,"FRA","after 2006, FAO integrates the production volumes into the French account"
"French Guiana",69,"France",68,"FRA","after 2006, FAO integrates the production volumes into the French account"
"Equatorial Guinea",61,"RoW",999,"ROW",
"Bhutan",18,"RoW",999,"ROW",
"Comoros",45,"RoW",999,"ROW",
"Cook Islands",47,"RoW",999,"ROW",
"Martinique",135,"France",68,"FRA","after 2006, FAO integrates the production volumes into the French account"
"Russian Federation",185,"Russian Federation",185,"RUS",
"Rwanda",184,"Rwanda",184,"RWA",
"Saint Kitts and Nevis",188,"Saint Kitts and Nevis",188,"KNA",
"Saint Lucia",189,"Saint Lucia",189,"LCA",
"Saint Vincent and the Grenadines",191,"Saint Vincent and the Grenadines",191,"VCT",
"Samoa",244,"Samoa",244,"WSM",
,,"Sao Tome and Principe",193,"STP",
"Saudi Arabia",194,"Saudi Arabia",194,"SAU",
"Senegal",195,"Senegal",195,"SEN",
"Serbia",272,"Serbia",272,"SRB",
"Sierra Leone",197,"Sierra Leone",197,"SLE",
"Singapore",200,"Singapore",200,"SGP",
"Slovakia",199,"Slovakia",199,"SVK","Czechoslovakia"
"Slovenia",198,"Slovenia",198,"SVN",
"Solomon Islands",25,"Solomon Islands",25,"SLB",
,,"Somalia",201,"SOM",
"South Africa",202,"South Africa",202,"ZAF",
"Spain",203,"Spain",203,"ESP",
"Sri Lanka",38,"Sri Lanka",38,"LKA",
"Sudan",276,"Sudan",276,"SDN","Sudan (former)"
"Suriname",207,"Suriname",207,"SUR",
"Sweden",210,"Sweden",210,"SWE",
"Switzerland",211,"Switzerland",211,"CHE",
"Syrian Arab Republic",212,"Syrian Arab Republic",212,"SYR",
"Tajikistan",208,"Tajikistan",208,"TJK",
"Thailand",216,"Thailand",216,"THA",
"Timor-Leste",176,"Timor-Leste",176,"TLS",
"Togo",217,"Togo",217,"TGO",
"Trinidad and Tobago",220,"Trinidad and Tobago",220,"TTO",
"Tunisia",222,"Tunisia",222,"TUN",
"Türkiye",223,"Turkey",223,"TUR",
"Turkmenistan",213,"Turkmenistan",213,"TKM",
,,"Uganda",226,"UGA",
"Ukraine",230,"Ukraine",230,"UKR",
,,"United Arab Emirates",225,"ARE",
"United Kingdom of Great Britain and Northern Ireland",229,"United Kingdom",229,"GBR",
"United Republic of Tanzania",215,"United Republic of Tanzania",215,"TZA",
"United States of America",231,"United States of America",231,"USA",
"Uruguay",234,"Uruguay",234,"URY",
"Uzbekistan",235,"Uzbekistan",235,"UZB",
"Vanuatu",155,"Vanuatu",155,"VUT",
"Venezuela (Bolivarian Republic of)",236,"Venezuela (Bolivarian Republic of)",236,"VEN",
"Viet Nam",237,"Viet Nam",237,"VNM",
"Yemen",249,"Yemen",249,"YEM",
"Zambia",251,"Zambia",251,"ZMB",
"Zimbabwe",181,"Zimbabwe",181,"ZWE",
