"GLORIA_region","GLORIA_region_code","FABIO_area","FABIO_area_code","FABIO_iso3c","comment"
"Estonia","EST","Estonia",63,"EST",
"Ethiopia/DR Ethiopia (1992/1993)","ETH","Ethiopia",238,"ETH",
"Finland","FIN","Finland",67,"FIN",
"France","FRA","France",68,"FRA",
"Gabon","GAB","Gabon",74,"GAB",
"Gambia","GMB","Gambia",75,"GMB",
"Georgia","GEO","Georgia",73,"GEO",
"Germany","DEU","Germany",79,"DEU",
"Ghana","GHA","Ghana",81,"GHA",
"Greece","GRC","Greece",84,"GRC",
"Guatemala","GTM","Guatemala",89,"GTM",
"Guinea","GIN","Guinea",90,"GIN",
"Haiti","HTI","Haiti",93,"HTI",
"Honduras","HND","Honduras",95,"HND",
"Hong Kong","HKG","China, Hong Kong SAR",96,"HKG",
"Hungary","HUN","Hungary",97,"HUN",
"Iceland","ISL","Iceland",99,"ISL",
"India","IND","India",100,"IND",
"Indonesia","IDN","Indonesia",101,"IDN",
"Iran","IRN","Iran (Islamic Republic of)",102,"IRN",
"Iraq","IRQ","Iraq",103,"IRQ",
"Ireland","IRL","Ireland",104,"IRL",
"Israel","ISR","Israel",105,"ISR",
"Italy","ITA","Italy",106,"ITA",
"Jamaica","JAM","Jamaica",109,"JAM",
"Japan","JPN","Japan",110,"JPN",
"Jordan","JOR","Jordan",112,"JOR",
"Kazakhstan","KAZ","Kazakhstan",108,"KAZ",
"Kenya","KEN","Kenya",114,"KEN",
"Kuwait","KWT","Kuwait",118,"KWT",
"Kyrgyzstan","KGZ","Kyrgyzstan",113,"KGZ",
"Laos","LAO","Lao People's Democratic Republic",120,"LAO",
"Latvia","LVA","Latvia",119,"LVA",
"Lebanon","LBN","Lebanon",121,"LBN",
"Liberia","LBR","Liberia",123,"LBR",
"Libya","LBY","Libya",124,"LBY",
"Lithuania","LTU","Lithuania",126,"LTU",
"Luxembourg","LUX","Luxembourg",256,"LUX",
"Macedonia","MKD","North Macedonia",154,"MKD",
"Madagascar","MDG","Madagascar",129,"MDG",
"Malawi","MWI","Malawi",130,"MWI",
"Malaysia","MYS","Malaysia",131,"MYS",
"Mali","MLI","Mali",133,"MLI",
"Malta","MLT","Malta",134,"MLT",
"Mauritania","MRT","Mauritania",136,"MRT",
"Mexico","MEX","Mexico",138,"MEX",
"Moldova","MDA","Republic of Moldova",146,"MDA",
"Mongolia","MNG","Mongolia",141,"MNG",
"Morocco","MAR","Morocco",143,"MAR",
"Mozambique","MOZ","Mozambique",144,"MOZ",
"Myanmar","MMR","Myanmar",28,"MMR",
"Namibia","NAM","Namibia",147,"NAM",
"Nepal","NPL","Nepal",149,"NPL",
"Netherlands","NLD","Netherlands",150,"NLD",
"New Zealand","NZL","New Zealand",156,"NZL",
"Nicaragua","NIC","Nicaragua",157,"NIC",
"Niger","NER","Niger",158,"NER",
"Nigeria","NGA","Nigeria",159,"NGA",
"North Korea","PRK","Democratic People's Republic of Korea",116,"PRK",
"Norway","NOR","Norway",162,"NOR",
"Oman","OMN","Oman",221,"OMN",
"Pakistan","PAK","Pakistan",165,"PAK",
"Palestine","PSE","RoW",999,"ROW",
"Panama","PAN","Panama",166,"PAN",
"Papua New Guinea","PNG","Papua New Guinea",168,"PNG",
"Paraguay","PRY","Paraguay",169,"PRY",
"Peru","PER","Peru",170,"PER",
"Philippines","PHL","Philippines",171,"PHL",
"Poland","POL","Poland",173,"POL",
"Portugal","PRT","Portugal",174,"PRT",
"Qatar","QAT","Qatar",179,"QAT",
"Rep Congo","COG","Congo",46,"COG",
"Rest of Africa","XAF","Cabo Verde",35,"CPV",
"Rest of Africa","XAF","Eswatini",209,"SWZ",
"Rest of Africa","XAF","Guinea-Bissau",175,"GNB",
"Rest of Africa","XAF","Lesotho",122,"LSO",
"Rest of Africa","XAF","Mauritius",137,"MUS",
"Rest of Africa","XAF","RoW",999,"ROW",
"Rest of Africa","XAF","Sao Tome and Principe",193,"STP",
"Rest of Americas","XAM","Antigua and Barbuda",8,"ATG",
"Rest of Americas","XAM","Barbados",14,"BRB",
"Rest of Americas","XAM","Grenada",86,"GRD",
"Rest of Americas","XAM","Guyana",91,"GUY",
"Rest of Americas","XAM","RoW",999,"ROW",
"Rest of Americas","XAM","Saint Kitts and Nevis",188,"KNA",
"Rest of Americas","XAM","Saint Lucia",189,"LCA",
"Rest of Americas","XAM","Saint Vincent and the Grenadines",191,"VCT",
"Rest of Americas","XAM","Suriname",207,"SUR",
"Rest of Americas","XAM","Trinidad and Tobago",220,"TTO",
"Rest of Asia-Pacific","XAS","China, Macao SAR",128,"MAC",
"Rest of Asia-Pacific","XAS","China, Taiwan Province of",214,"TWN",
"Rest of Asia-Pacific","XAS","Fiji",66,"FJI",
"Rest of Asia-Pacific","XAS","French Polynesia",70,"PYF","done by geographical proximity; not by connection to colonial powers (how did they do it in GLORIA?)"
"Rest of Asia-Pacific","XAS","Kiribati",83,"KIR",
"Rest of Asia-Pacific","XAS","Maldives",132,"MDV",
"Rest of Asia-Pacific","XAS","New Caledonia",153,"NCL",
"Rest of Asia-Pacific","XAS","RoW",999,"ROW",
"Rest of Asia-Pacific","XAS","Samoa",244,"WSM",
"Rest of Asia-Pacific","XAS","Solomon Islands",25,"SLB",
"Rest of Asia-Pacific","XAS","Timor-Leste",176,"TLS",
"Rest of Asia-Pacific","XAS","Vanuatu",155,"VUT",
"Rest of Europe","XEU","RoW",999,"ROW",
"Romania","ROU","Romania",183,"ROU",
"Rwanda","RWA","Rwanda",184,"RWA",
"Saudi Arabia","SAU","Saudi Arabia",194,"SAU",
"Senegal","SEN","Senegal",195,"SEN",
"Sierra Leone","SLE","Sierra Leone",197,"SLE",
"Singapore","SGP","Singapore",200,"SGP",
"Slovakia","SVK","Slovakia",199,"SVK",
"Slovenia","SVN","Slovenia",198,"SVN",
"Somalia","SOM","Somalia",201,"SOM",
"South Africa","ZAF","South Africa",202,"ZAF",
"South Korea","KOR","Republic of Korea",117,"KOR",
"South Sudan","SDS","RoW",999,"ROW",
"Spain","ESP","Spain",203,"ESP",
"Sri Lanka","LKA","Sri Lanka",38,"LKA",
"Sudan/North Sudan (2010/2011)","SDN","Sudan",276,"SDN",
"Sweden","SWE","Sweden",210,"SWE",
"Switzerland","CHE","Switzerland",211,"CHE",
"Syria","SYR","Syrian Arab Republic",212,"SYR",
"Tajikistan","TJK","Tajikistan",208,"TJK",
"Tanzania","TZA","United Republic of Tanzania",215,"TZA",
"Thailand","THA","Thailand",216,"THA",
"Togo","TGO","Togo",217,"TGO",
"Tunisia","TUN","Tunisia",222,"TUN",
"Turkey","TUR","Turkey",223,"TUR",
"Turkmenistan","TKM","Turkmenistan",213,"TKM",
"Uganda","UGA","Uganda",226,"UGA",
"Ukraine","UKR","Ukraine",230,"UKR",
"United Arab Emirates","ARE","United Arab Emirates",225,"ARE",
"United Kingdom","GBR","United Kingdom",229,"GBR",
"United States of America","USA","United States of America",231,"USA",
"Uruguay","URY","Uruguay",234,"URY",
"USSR/Russian Federation (1990/1991)","RUS","Russian Federation",185,"RUS",
"Uzbekistan","UZB","Uzbekistan",235,"UZB",
"Venezuela","VEN","Venezuela (Bolivarian Republic of)",236,"VEN",
"Viet Nam","VNM","Viet Nam",237,"VNM",
"Yemen Arab Republic/Yemen (1990/1991)","YEM","Yemen",249,"YEM",
"Yugoslavia/Serbia (1991/1992)","SRB","Montenegro",273,"MNE",
"Yugoslavia/Serbia (1991/1992)","SRB","Serbia",272,"SRB",
"Zambia","ZMB","Zambia",251,"ZMB",
"Zimbabwe","ZWE","Zimbabwe",181,"ZWE",
