"USA_SUT_item","USA_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Health and personal care stores","446000",,,,,
"Gasoline stations","447000",,,,,
"Clothing and clothing accessories stores","448000",,,,,
"Nonstore retailers","454000",,,,,
"All other retail","4B0000",,,,,
"Air transportation","481000",,,,,
"Rail transportation","482000",,,,,
"Water transportation","483000",,,,,
"Truck transportation","484000",,,,,
"Transit and ground passenger transportation","485000",,,,,
"Pipeline transportation","486000",,,,,
"Scenic and sightseeing transportation and support activities for transportation","48A000",,,,,
"Couriers and messengers","492000",,,,,
"Warehousing and storage","493000",,,,,
"Newspaper publishers","511110",,,,,
"Periodical Publishers","511120",,,,,
"Book publishers","511130",,,,,
"Directory, mailing list, and other publishers","5111A0",,,,,
"Software publishers","511200",,,,,
"Motion picture and video industries","512100",,,,,
"Sound recording industries","512200",,,,,
"Radio and television broadcasting","515100",,,,,
"Cable and other subscription programming","515200",,,,,
"Wired telecommunications carriers","517110",,,,,
"Wireless telecommunications carriers (except satellite)","517210",,,,,
"Satellite, telecommunications resellers, and all other telecommunications","517A00",,,,,
"Data processing, hosting, and related services","518200",,,,,
"Internet publishing and broadcasting and Web search portals","519130",,,,,
"News syndicates, libraries, archives and all other information services","5191A0",,,,,
"Nondepository credit intermediation and related activities","522A00",,,,,
"Monetary authorities and depository credit intermediation","52A000",,,,,
"Other financial investment activities","523900",,,,,
"Securities and commodity contracts intermediation and brokerage","523A00",,,,,
"Direct life insurance carriers","524113",,,,,
"Insurance carriers, except direct life","5241XX",,,,,
"Insurance agencies, brokerages, and related activities","524200",,,,,
"Funds, trusts, and other financial vehicles","525000",,,,,
"Owner-occupied housing","531HSO",,,,,
"Tenant-occupied housing","531HST",,,,,
"Other real estate","531ORE",,,,,
"Automotive equipment rental and leasing","532100",,,,,
"Commercial and industrial machinery and equipment rental and leasing","532400",,,,,
"General and consumer goods rental","532A00",,,,,
"Lessors of nonfinancial intangible assets","533000",,,,,
"Legal services","541100",,,,,
"Custom computer programming services","541511",,,,,
"Computer systems design services","541512",,,,,
"Other computer related services, including facilities management","54151A",,,,,
"Accounting, tax preparation, bookkeeping, and payroll services","541200",,,,,
"Architectural, engineering, and related services","541300",,,,,
"Management consulting services","541610",,,,,
"Environmental and other technical consulting services","5416A0",,,,,
"Scientific research and development services","541700",,,,,
"Advertising, public relations, and related services","541800",,,,,
"Specialized design services","541400",,,,,
"Photographic services","541920",,,,,
"Veterinary services","541940",,,,,
"All other miscellaneous professional, scientific, and technical services","5419A0",,,,,
"Management of companies and enterprises","550000",,,,,
"Employment services","561300",,,,,
"Services to buildings and dwellings","561700",,,,,
"Office administrative services","561100",,,,,
"Facilities support services","561200",,,,,
"Business support services","561400",,,,,
"Travel arrangement and reservation services","561500",,,,,
"Investigation and security services","561600",,,,,
"Other support services","561900",,,,,
"Waste management and remediation services","562000",,,,,
"Elementary and secondary schools","611100",,,,,
"Junior colleges, colleges, universities, and professional schools","611A00",,,,,
"Other educational services","611B00",,,,,
"Offices of physicians","621100",,,,,
"Offices of dentists","621200",,,,,
"Offices of other health practitioners","621300",,,,,
"Outpatient care centers","621400",,,,,
"Medical and diagnostic laboratories","621500",,,,,
"Home health care services","621600",,,,,
"Other ambulatory health care services","621900",,,,,
"Hospitals","622000",,,,,
"Nursing and community care facilities","623A00",,,,,
"Residential mental health, substance abuse, and other residential care facilities","623B00",,,,,
"Individual and family services","624100",,,,,
"Child day care services","624400",,,,,
"Community food, housing, and other relief services, including rehabilitation services","624A00",,,,,
"Performing arts companies","711100",,,,,
"Spectator sports","711200",,,,,
"Independent artists, writers, and performers","711500",,,,,
"Promoters of performing arts and sports and agents for public figures","711A00",,,,,
"Museums, historical sites, zoos, and parks","712000",,,,,
"Amusement parks and arcades","713100",,,,,
"Gambling industries (except casino hotels)","713200",,,,,
"Other amusement and recreation industries","713900",,,,,
"Accommodation","721000",,,,,
"Full-service restaurants","722110",,,,,
"Limited-service restaurants","722211",,,,,
"All other food and drinking places","722A00",,,,,
"Automotive repair and maintenance (including car washes)","811100",,,,,
"Electronic and precision equipment repair and maintenance","811200",,,,,
"Commercial and industrial machinery and equipment repair and maintenance","811300",,,,,
"Personal and household goods repair and maintenance","811400",,,,,
"Personal care services","812100",,,,,
"Death care services","812200",,,,,
"Dry-cleaning and laundry services","812300",,,,,
"Other personal services","812900",,,,,
"Religious organizations","813100",,,,,
"Grantmaking, giving, and social advocacy organizations","813A00",,,,,
"Civic, social, professional, and similar organizations","813B00",,,,,
"Private households","814000",,,,,
"Federal general government (defense)","S00500",,,,,
"Federal general government (nondefense)","S00600",,,,,
"Postal service","491000",,,,,
"Other federal government enterprises","S00102",,,,,
"State and local government (educational services)","GSLGE",,,,,
"State and local government (hospitals and health services)","GSLGH",,,,,
"State and local government (other services)","GSLGO",,,,,
"Other state and local government enterprises","S00203",,,,,
"Scrap","S00401",,,,,
"Used and secondhand goods","S00402",,,,,
"Noncomparable imports","S00300",,,,,
"Rest of the world adjustment","S00900",,,,,
,,"Grazing",2001,"c062",,
,,"Cottonseed",2559,"c063",,
,,"Palm kernels",2562,"c064",,
,,"Cotton lint",2661,"c095",,
,,"Alcohol, Non-Food",2659,"c094",,"no US BEA item; cf. 312140"
