crop,item,item_code
Clover/Seed,Fodder crops,2000
Cocoa,Cocoa Beans and products,2633
Coconut,Coconuts - Incl Copra,2560
Coffee,Coffee and products,2630
Coffee green,Coffee and products,2630
Corn,Maize and products,2514
Cotton,Seed cotton,328
Cotton,Cotton lint,2661
Cotton lint,Cotton lint,2661
Cotton seed,Seed cotton,328
Cotton/Seed,Seed cotton,328
Cottonseed,Seed cotton,328
Cow cabbage,"Vegetables, Other",2605
Cowpea,"Pulses, Other and products",2549
Cranberry,"Fruits, Other",2625
Crop/Cash,"",
Crops (other),"",
Crops/Others,"",
Cucumber,"Vegetables, Other",2605
Cucumber/Fresh,"Vegetables, Other",2605
Cucumber/Processed,"Vegetables, Other",2605
Date,Dates,2619
Deciduous fruits,"Fruits, Other",2625
Dry bean,Beans,2546
Dry beans,Beans,2546
Dry onions,Onions,2602
Edible beans,Beans,2546
Eggplant,"Vegetables, Other",2605
Ensete,Bananas,2615
Fallow,"",
Fertilized forests,"",
Fibre crops,"Hard Fibres, Other",2667
Fibre flax,"Soft-Fibres, Other",2664
Fibres,"Hard Fibres, Other",2667
Field vegetables,"Vegetables, Other",2605
Fig,"Fruits, Other",2625
Figs,"Fruits, Other",2625
Flax,"",
Flowers,"",
Fodder,Fodder crops,2000
Fodder (beet),Fodder crops,2000
Fodder (legume),Fodder crops,2000
Fodder (legumes),Fodder crops,2000
Fodder (other),Fodder crops,2000
Fodder (others),Fodder crops,2000
Fodder (pulses),Fodder crops,2000
Fodder Crop,Fodder crops,2000
Fodder Crop (Other),Fodder crops,2000
Fodder beet,Fodder crops,2000
Fodder crop,Fodder crops,2000
Fodder crop (Non-irrig.),Fodder crops,2000
Fodder crop (other),Fodder crops,2000
Fodder crops,Fodder crops,2000
Fodder inc. silage maize,Fodder crops,2000
Fodder roots,Fodder crops,2000
Fodder/Leguminous,Fodder crops,2000
Fodder/Others,Fodder crops,2000
Food crops (other),"",
Forage products nes,Fodder crops,2000
Forestry,"",
French Bean,Beans,2546
French bean,Beans,2546
Fresh cabbage,"Vegetables, Other",2605
Fresh cucumbers,"Vegetables, Other",2605
Fresh snap beans,Beans,2546
Fresh spinach,"Vegetables, Other",2605
Fresh tomatoes,Tomatoes and products,2601
Fruit,"Fruits, Other",2625
Fruit and vegetables,"Fruits, Other",2625
Fruit gardens,"Fruits, Other",2625
Fruit primary and citrus fruits and treenuts,"Fruits, Other",2625
Fruit/Deciduous,"Fruits, Other",2625
Fruit/Sub-Tropical,"Fruits, Other",2625
Fruits,"Fruits, Other",2625
Fruits & vegetables,"Fruits, Other",2625
Fruits (Other),"Fruits, Other",2625
Fruits (Trop./Sub-Tr),"Fruits, Other",2625
Fruits (other),"Fruits, Other",2625
Fruits/Others,"Fruits, Other",2625
Fruits/Vegetables,"Fruits, Other",2625
Garlic,"Vegetables, Other",2605
Ginger,"Roots, Other",2534
Grain Maize,Maize and products,2514
Grain Sorghum,Maize and products,2514
Grain maize,Maize and products,2514
Grain maize (including CCM),Maize and products,2514
Grain maize. incl. CCM,Maize and products,2514
Gram,,
Grape,Grapes and products (excl wine),2620
Grapefruit,"Fruits, Other",2625
Grass,Grazing,2001
Grass-seed,Grazing,2001
Grass/Seed,Grazing,2001
Grassland,Grazing,2001
Grassland & Pasture,Grazing,2001
Grassland (Intensive),Grazing,2001
Grassland (Moderate),Grazing,2001
Grassland (Other),Grazing,2001
Grassland (fertilized),Grazing,2001
Grassland (intensive),Grazing,2001
Grassland and Pastures,Grazing,2001
Grassland fertilized,Grazing,2001
Grassland non-fertilized,Grazing,2001
Grassland/Fertilized,Grazing,2001
Grassland/Intensive,Grazing,2001
Grassland/Pasture,Grazing,2001
Grassland/Temporary,Grazing,2001
Grasslands,Grazing,2001
Grasslands & Pasture,Grazing,2001
Grasslands & Pastures,Grazing,2001
Grasslands & pastures,Grazing,2001
Grasslands (Permanent),Grazing,2001
Grasslands (Temporary),Grazing,2001
Grasslands (temporary),Grazing,2001
Grasslands fertilized,Grazing,2001
Green Manure Crop,"",
Green beans,Beans,2546
Green fodder,Fodder crops,2000
Green forages,Fodder crops,2000
Green manure crop,Fodder crops,2000
Groundnut,Groundnuts,2552
Hay,Fodder crops,2000
Hazelnut,Nuts and products,2551
Head lettuce,"Vegetables, Other",2605
Hemp/Tow,,
Honeydew,"Fruits, Other",2625
Hop,Hops,677
Horticulture,"",
Jute,Jute,2662
Jute/Kenaf,Jute,2662
Kale,"Vegetables, Other",2605
cow cabbage,"Vegetables, Other",2605
Kiwi,"Fruits, Other",2625
Kiwifruit,"Fruits, Other",2625
Leafy Vegetables,"Vegetables, Other",2605
Leguminous Fodder,Fodder crops,2000
Leguminous fodder,Fodder crops,2000
Leguminous,Fodder crops,2000
Lemon,"Lemons, Limes and products",2612
Lemon & lime,"Lemons, Limes and products",2612
Lentil,"Pulses, Other and products",2549
Lentils,"Pulses, Other and products",2549
Lettuce,"Vegetables, Other",2605
Lettuce/Head,"Vegetables, Other",2605
Lettuce/Others,"Vegetables, Other",2605
Lima beans,Beans,2546
Lime,"Lemons, Limes and products",2612
Linseed,"Pulses, Other and products",2549
Lucerne,Fodder crops,2000
Lucerne (Alfalfa),Fodder crops,2000
Maize,Maize and products,2514
Maize & Corn,Maize and products,2514
Maize & Grain,Maize and products,2514
Maize (Green silage),Fodder crops,2000
Maize (for corn),Maize and products,2514
Maize (green silage),Fodder crops,2000
Maize green,Maize and products,2514
Maize&Sorghum,Sorghum and products,2518
Maize&Sorghum,Maize and products,2514
Maize green silage,Fodder crops,2000
Maize/Fresh Sweet,Maize and products,2514
Maize/Grain,Maize and products,2514
Maize/Green Silage,Fodder crops,2000
Maize/Sweet Processed,Maize and products,2514
Mango,"Fruits, Other",2625
Meadows (for hay),Fodder crops,2000
Melon,"Fruits, Other",2625
Millet,Millet and products,2517
Millet/Pearl,Millet and products,2517
Mixed grains,"Cereals, Other",2520
Mulberry,"Fruits, Other",2625
Mungbean,"Pulses, Other and products",2549
Mustard,Rape and Mustardseed,2558
Native Wheat,Wheat and products,2511
Nectarine,"Fruits, Other",2625
Nectarine & peach,"Fruits, Other",2625
Nectarines,"Fruits, Other",2625
Nuts,Nuts and products,2551
Oat,Oats,2516
Oat/Rye,Oats,2516
Oat/Rye,Rye and products,2515
Oats,Oats,2516
Oats (Others),Oats,2516
Oil Crops/Nuts,"Oilcrops, Other",2570
Oil Crops/Nuts,Nuts and products,2551
Oil Palm,"Oil, palm fruit",254
Oil crops,"Oilcrops, Other",2570
Oil crops & Nuts,"Oilcrops, Other",2570
Oil crops & Nuts,Nuts and products,2551
Oil crops & nuts,Nuts and products,2551
Oil crops & nuts,"Oilcrops, Other",2570
Oil crops (other),"Oilcrops, Other",2570
Oil palm,"Oil, palm fruit",254
Oil-Palm,"Oil, palm fruit",254
Oil-palm,"Oil, palm fruit",254
Oils crops & Nuts,"Oilcrops, Other",2570
Oilseed (rape),Rape and Mustardseed,2558
Oilseed rape,Rape and Mustardseed,2558
Oilseeds,"",
Oilseeds/Others,"",
Oilseeds/Pulses,"Pulses, Other and products",2549
Olive,Olives (including preserved),2563
Onion,Onions,2602
Onion & shallots,Onions,2602
Onion/Dry,Onions,2602
Orange,"Oranges, Mandarines",2611
Orchards,"Fruits, Other",2625
Other,"",
Other (including Tobacco),"",
Other (including tobacco),"",
Other (tobacco),"",
Other cereals,"Cereals, Other",2520
Other crops,"",
Other export agricultural crops,"",
Other lettuce,"Vegetables, Other",2605
Other oil crops,"",
Other oil seed,"",
Others,"",
Others (fruits,"Fruits, Other",2625
Others (incl. tobacco),"",
Paddy,Rice and products,2807
Papaya,"Fruits, Other",2625
Passionfruit,"Fruits, Other",2625
Pasture,Grazing,2001
Pasture &  Fodder,Grazing,2001
Pasture &  Fodder,Fodder crops,2000
Pasture & Fodder,Fodder crops,2000
Pasture & Fodder,Grazing,2001
Pasture & Fodder (Other),Fodder crops,2000
Pasture & Fodder (Other),Grazing,2001
Pasture & fodder,Fodder crops,2000
Pasture & fodder,Grazing,2001
Pasture/Fodder,Grazing,2001
Pasture/Fodder,Fodder crops,2000
Pea,Peas,2547
"Pea, dry",Peas,2547
"Pea, green",Peas,2547
Pea/Dry,Peas,2547
Pea/Processed,Peas,2547
Peach,"Fruits, Other",2625
Peach & Plum,"Fruits, Other",2625
Peach/Plum,"Fruits, Other",2625
Peaches,"Fruits, Other",2625
Peanut,Groundnuts,2552
Peanuts,Groundnuts,2552
Pear,"Fruits, Other",2625
Pears,"Fruits, Other",2625
Pepper,"Vegetables, Other",2605
Pepper & chili,"Vegetables, Other",2605
Pepper and chilli,"Vegetables, Other",2605
"Pepper, green","Vegetables, Other",2605
"Pepper, red","Vegetables, Other",2605
Pepper/Bell,"Vegetables, Other",2605
Pepper/Chili,"Vegetables, Other",2605
Pepper/Green,"Vegetables, Other",2605
Pepper/Red,"Vegetables, Other",2605
Perennial grass,Grazing,2001
"Perm. crops (fruit, vineyard)","Fruits, Other",2625
Perm. crops (fruit. vineyard),"Fruits, Other",2625
"Permanent Crops (fruit, vineyard)","Fruits, Other",2625
"Permanent Crops (fruits, vineyard)","Fruits, Other",2625
Pineapple,Pineapples and products,2618
Pistachio,Nuts and products,2551
Plantain,Plantains,2616
Plantain and banana,Plantains,2616
Plum,"Fruits, Other",2625
Poppy,"",
Potato,Potatoes and products,2531
Potato (Sweet),Sweet potatoes,2533
Potato (early),Potatoes and products,2531
Potato (for starch industry),Potatoes and products,2531
Potato (sweet),Sweet potatoes,2533
Potato (ware),Potatoes and products,2531
Potato sweet,Sweet potatoes,2533
"Potato, sweet",Sweet potatoes,2533
Potato/Sweet,Sweet potatoes,2533
Processed cabbage,"Vegetables, Other",2605
Processed cucumbers,"Vegetables, Other",2605
Processed peas,Peas,2547
Processed snap beans,Beans,2546
Processed spinach,"Vegetables, Other",2605
Processed tomatoes,"Vegetables, Other",2605
Prune,"Fruits, Other",2625
Pulses,"Pulses, Other and products",2549
Pulses (Other),"Pulses, Other and products",2549
Pulses (for seed),"Pulses, Other and products",2549
Pulses (other),"Pulses, Other and products",2549
"Pulses (pea, bean)","Pulses, Other and products",2549
"Pulses (pea, beans)","Pulses, Other and products",2549
"Pulses (peas, beans)","Pulses, Other and products",2549
Pulses (peas. beans),"Pulses, Other and products",2549
Pulses(Other),"Pulses, Other and products",2549
Pulses/Others,"Pulses, Other and products",2549
Pulses/oilseeds,"Pulses, Other and products",2549
Radish,"Vegetables, Other",2605
Rape,Rape and Mustardseed,2558
Rape seed & Mustard,Rape and Mustardseed,2558
Rapeseed,Rape and Mustardseed,2558
Rapeseed & Canola,Rape and Mustardseed,2558
Rapeseed & Mustard,Rape and Mustardseed,2558
Rapeseed/Winter,Rape and Mustardseed,2558
Raspberry,"Fruits, Other",2625
Red pepper,"Vegetables, Other",2605
Residual,"",
Rice,Rice and products,2807
Rice (Aman),Rice and products,2807
Rice (Aus),Rice and products,2807
Rice (Boro),Rice and products,2807
Rice (irrigated),Rice and products,2807
Rice (rainfed),Rice and products,2807
"Rice, paddy",Rice and products,2807
Rice/Irrigated,Rice and products,2807
Rice/Rainfed,Rice and products,2807
Roots & Tubers (other),"Roots, Other",2534
Roots & tubers,"Roots, Other",2534
Roots & tubers (other),"Roots, Other",2534
Roots and Tubers,"Roots, Other",2534
Roots/Tubers,"Roots, Other",2534
Roots/Tubers (Other),"Roots, Other",2534
Roots/tubers,"Roots, Other",2534
Rough,Fodder crops,2000
Rubber,Rubber,2672
Rusk,"",
Rye,Rye and products,2515
Rye & Oat,Oats,2516
Rye & Oat,Rye and products,2515
Rye (winter),Rye and products,2515
"Rye,  oat, rice",Rye and products,2515
"Rye, oat rice",Oats,2516
"Rye, oat, rice",Rice and products,2807
"Rye, oat. Rice",Rye and products,2515
"Rye, oat. Rice",Oats,2516
"Rye, oat. Rice",Rice and products,2807
Rye/Oat,Oats,2516
Rye/Oat,Rye and products,2515
Safflower,"",
Safflower seed,"",
Seed cotton,Seed cotton,328
Sesame,Sesame seed,2561
Set Aside,"",
Set aside,"",
Set-aside,"",
Set-aside. industrial crops,"",
Silage,Fodder crops,2000
Silage maize,Fodder crops,2000
Sisal,Sisal,2665
Sorghum,Sorghum and products,2518
Sorghum/Grain,Sorghum and products,2518
Soybean,Soyabeans,2555
Soybeans,Soyabeans,2555
Spices,"Spices, Other",2645
Spinach,"Vegetables, Other",2605
Spinach/Fresh,"Vegetables, Other",2605
Spinach/Processed,"Vegetables, Other",2605
Squash,"Vegetables, Other",2605
Squash and gourd,"Vegetables, Other",2605
Squash/Gourd,"Vegetables, Other",2605
Stone and Pipe Fruits,"Fruits, Other",2625
Strawberry,"Fruits, Other",2625
Sub-tropical fruits,"Fruits, Other",2625
Subtropical fruits,"Fruits, Other",2625
Sugar Beet,Sugar beet,2537
Sugar Cane,Sugar cane,2536
Sugar beet,Sugar beet,2537
Sugar cane,Sugar cane,2536
Sugar crops,"",
Sugarcane,Sugar cane,2536
Sunflower,Sunflower seed,2557
Sunflower seed,Sunflower seed,2557
"Sunflower,  soya, linseed","",
"Sunflower, soybean, linseed","",
"Sunflower. Soya, linseed","",
Sweet cherries,"Fruits, Other",2625
Sweet fresh corn,"Vegetables, Other",2605
Sweet processed corn,"",
Tangelo,"Oranges, Mandarines",2611
Tangerine,"Oranges, Mandarines",2611
Taro,"Roots, Other",2534
Tart cherries,"Fruits, Other",2625
Tea,Tea (including mate),2635
Teff,"Soft-Fibres, Other",2664
Temple,"",
Tobacco,Tobacco,2671
Tobacco (Burley),Tobacco,2671
Tobacco (Virgina),Tobacco,2671
Tobacco leaves,Tobacco,2671
Tobacco/Burley,Tobacco,2671
Tobacco/Virginia,Tobacco,2671
Tomato,Tomatoes and products,2601
Tomato/Fresh,Tomatoes and products,2601
Tomato/Processed,Tomatoes and products,2601
Triticale,"Cereals, Other",2520
Turnips (stockfeed),"Roots, Other",2534
Vegetable/Others,"Vegetables, Other",2605
Vegetables,"Vegetables, Other",2605
Vegetables (Other),"Vegetables, Other",2605
Vegetables (Other},"Vegetables, Other",2605
Vegetables (covered area),"Vegetables, Other",2605
Vegetables (open area),"Vegetables, Other",2605
Vegetables (other),"Vegetables, Other",2605
Vegetables glasshouse,"Vegetables, Other",2605
Vegetables/Others,"Vegetables, Other",2605
Vetch,"Pulses, Other and products",2549
Vines (grape),"Fruits, Other",2625
Vineyard,"Fruits, Other",2625
Water Melon,"Fruits, Other",2625
Water-Melon,"Fruits, Other",2625
Water-melon,"Fruits, Other",2625
WaterMelon,"Fruits, Other",2625
Watermelon,"Fruits, Other",2625
Wheat,Wheat and products,2511
Wheat (Durum),Wheat and products,2511
Wheat (Spring),Wheat and products,2511
Wheat (Winter),Wheat and products,2511
Wheat (soft + durum),Wheat and products,2511
Wheat (spring),Wheat and products,2511
Wheat (summer),Wheat and products,2511
Wheat (winter),Wheat and products,2511
Wheat/Barley irrigated,Wheat and products,2511
Wheat/Barley non-irrig.,Wheat and products,2511
Wheat/Durum,Wheat and products,2511
Wheat/Native,Wheat and products,2511
Wheat/Spring,Wheat and products,2511
Wheat/Winter,Wheat and products,2511
Yam,Yams,2535
bean,Beans,2546
carrot,"Vegetables, Other",2605
cauliflower,"Vegetables, Other",2605
cereals (Other),"Cereals, Other",2520
citrus Fruits,"Citrus, Other",2614
coconut,Coconuts - Incl Copra,2560
cucumber,"Vegetables, Other",2605
maize,Maize and products,2514
oat,Oats,2516
sugar Beet,Sugar beet,2537
sugar Cane,Sugar cane,2536
sugar cane,Sugar cane,2536
sunflower,Sunflower seed,2557
vegetables,"Vegetables, Other",2605
