Stressor,Compartment,Subcompartment 1,Subcompartment 2,Unit,Description,Source,GWP
gwp_co2_food_household_consumption,gwp,co2,"",tonnes co2eq (AR6),CO2 emissions from food household consumption. Distributed to products using item shares of total food use.,"https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",1
gwp_co2_food_retail,gwp,co2,"",tonnes co2eq (AR6),CO2 emissions from food retail.  Distributed to products using item shares of total food use.,"https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",1
gwp_co2,gwp,co2,"",tonnes co2eq (AR6),CO2 emissions final demand (total).,https://www.fao.org/faostat/en/#data/GPP,1
gwp_f_gases_food_household_consumption,gwp,f gases (AR5),"",tonnes co2eq (AR5),"F-gases emissions from food household consumption. Distributed to products using item shares of total food use. Reported by FAO in CO2eq, using AR5.","https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",1
gwp_f_gases_food_retail,gwp,f gases (AR5),"",tonnes co2eq (AR5),"F-gases emissions from food retail. Distributed to products using item shares of total food use. Reported by FAO in CO2eq, using AR5.","https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",1
gwp_f_gases,gwp,f gases (AR5),"",tonnes co2eq (AR5),"F-Gases emissions final demand (total). Reported by FAO in CO2eq, using AR5.","https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",1
gwp_n2o_domestic_wastewater,gwp,n2o,"",tonnes co2eq (AR6),N2O emissions from domestic wastewater.  Distributed to products using item shares of total food use.,"https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",273
gwp_n2o_food_household_consumption,gwp,n2o,"",tonnes co2eq (AR6),N2O emissions from food household consumption. Distributed to products using item shares of total food use.,"https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",273
gwp_n2o_food_retail,gwp,n2o,"",tonnes co2eq (AR6),CO2 emissions from food retail.  Distributed to products using item shares of total food use.,"https://www.fao.org/faostat/en/#data/GPP;
https://www.fao.org/faostat/en/#data/SCL",273
gwp_n2o,gwp,n2o,"",tonnes co2eq (AR6),N2O emissions final demand (total).,https://www.fao.org/faostat/en/#data/GPP,273
gwp_total,ghg,"","",tonnes co2eq (AR6),Total CO2 equivalent emissions from all agricultural activities.,All sources under Compartment -ghg-,
ibif_co2_eq,ibif,terrestrial,"",MSA loss * year * km^2,Mean species abundance loss that occurs due to climate change from final demand emissions. Weighted by duration and extent of exposure to pressure. Can be added up with other MSA measures but not with pdf.,10.1038/s41597-025-05946-1,
ibif_total,ibif,terrestrial,"",MSA loss * year * km^2,Total mean species abundance loss that occurs due to final demand pressures. Here: same as ibif_co2_eq since no other fd pressures are accounted for. Weighted by duration and extent of exposure to pressure. Can be added up with other MSA measures but not with pdf.,10.1038/s41597-025-05946-1,
LCIM_EQ_freshwater_climate,LC-Impact,freshwater,"",global PDF,Freshwater biodiversity loss in global PDF (species richness) caused by ghg emissions from final demand activities. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_freshwater,LC-Impact,freshwater,"",global PDF,Total freshwater biodiversity loss in global PDF (species richness) from final demand activities. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_marine_climate,LC-Impact,marine,"",global PDF,Marine biodiversity loss in global PDF (species richness) caused by ghg emissions from final demand activities. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_marine,LC-Impact,marine,"",global PDF,Total marine biodiversity loss in global PDF (species richness) from final demand activities. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_terrestrial_climate,LC-Impact,terrestrial,"",global PDF,Terrestrial biodiversity loss in global PDF (species richness) caused by ghg emissions from final demand activities. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_terrestrial,LC-Impact,terrestrial,"",global PDF,Total terrestrial biodiversity loss in global PDF (species richness) from final demand activities. Calculated using an average approach (exept acidification). Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
