area_code,area,iso3c,continent
119,Latvia,LVA,EU
120,Lao People’s Democratic Republic,LAO,ASI
121,Lebanon,LBN,ASI
122,Lesotho,LSO,AFR
123,Liberia,LBR,AFR
124,Libya,LBY,AFR
126,Lithuania,LTU,EU
128,"China, Macao SAR",MAC,ASI
129,Madagascar,MDG,AFR
130,Malawi,MWI,AFR
131,Malaysia,MYS,ASI
132,Maldives,MDV,ASI
133,Mali,MLI,AFR
134,Malta,MLT,EU
136,Mauritania,MRT,AFR
137,Mauritius,MUS,AFR
138,Mexico,MEX,LAM
141,Mongolia,MNG,ASI
143,Morocco,MAR,AFR
144,Mozambique,MOZ,AFR
146,Republic of Moldova,MDA,EUR
147,Namibia,NAM,AFR
149,Nepal,NPL,ASI
150,Netherlands,NLD,EU
151,Netherlands Antilles,ANT,LAM
153,New Caldonia,NCL,OCE
154,The former Yugoslav Republic of Macedonia,MKD,EUR
155,Vanuatu,VUT,OCE
156,New Zealand,NZL,OCE
157,Nicaragua,NIC,LAM
158,Niger,NER,AFR
159,Nigeria,NGA,AFR
162,Norway,NOR,EUR
165,Pakistan,PAK,ASI
166,Panama,PAN,LAM
167,Czech Republic,CZE,EU
168,Papua New Guinea,PNG,OCE
169,Paraguay,PRY,LAM
170,Peru,PER,LAM
171,Philippines,PHL,ASI
173,Poland,POL,EU
174,Portugal,PRT,EU
175,Guinea-Bissau,GNB,AFR
176,Timor-Leste,TLS,ASI
177,Puerto Rico,PRI,LAM
178,Eritrea,ERI,AFR
179,Qatar,QAT,ASI
181,Zimbabwe,ZWE,AFR
183,Romania,ROU,EU
184,Rwanda,RWA,AFR
185,Russian Federation,RUS,ASI
186,Serbia and Montenegro,SCG,EUR
188,Saint Kitts and Nevis,KNA,LAM
189,Saint Lucia,LCA,LAM
191,Saint Vincent and the Grenadines,VCT,LAM
193,Sao Tome and Principe,STP,AFR
194,Saudi Arabia,SAU,ASI
195,Senegal,SEN,AFR
197,Sierra Leone,SLE,AFR
198,Slovenia,SVN,EU
199,Slovakia,SVK,EU
200,Singapore,SGP,ASI
201,Somalia,SOM,AFR
202,South Africa,ZAF,AFR
203,Spain,ESP,EU
207,Suriname,SUR,LAM
208,Tajikistan,TJK,ASI
209,Swaziland,SWZ,AFR
210,Sweden,SWE,EU
211,Switzerland,CHE,EUR
212,Syrian Arab Republic,SYR,ASI
213,Turkmenistan,TKM,ASI
214,"China, Taiwan Province of",TWN,ASI
215,United Republic of Tanzania,TZA,AFR
216,Thailand,THA,ASI
217,Togo,TGO,AFR
220,Trinidad and Tobago,TTO,LAM
221,Oman,OMN,ASI
222,Tunisia,TUN,AFR
223,Turkey,TUR,EUR
225,United Arab Emirates,ARE,ASI
226,Uganda,UGA,AFR
228,USSR,SUN,ASI
229,United Kingdom,GBR,EU
230,Ukraine,UKR,EUR
231,United States of America,USA,NAM
233,Burkina Faso,BFA,AFR
234,Uruguay,URY,LAM
235,Uzbekistan,UZB,ASI
236,Venezuela (Bolivarian Republic of),VEN,LAM
237,Viet Nam,VNM,ASI
238,Ethiopia,ETH,AFR
244,Samoa,WSM,OCE
248,Yugoslav SFR,YUG,EUR
249,Yemen,YEM,ASI
250,Democratic Republic of the Congo,COD,AFR
251,Zambia,ZMB,AFR
255,Belgium,BEL,EU
256,Luxembourg,LUX,EU
272,Serbia,SRB,EUR
273,Montenegro,MNE,EUR
276,Sudan,SDN,AFR
277,South Sudan,SSD,AFR
999,RoW,ROW,ROW
